nomoffre,type,typehabitation,adresse1,adresse1suite,adresse2,adresse3,codepostal,commune,cedex,codeinseecommune,latitude,longitude,acces,commmob,commtel,commfax,commmail,commweb,videosurl,plateformeurl,spvideosembed,tripadwidget,animauxacceptes,animauxinfo,labeltourismehandicap,spaccessibilite,spaccueilveloitineraire,equipements,confortimmobilier,confortmobilier,labels,labelsclassement,categorie,capacitenbchambres,capacitenbchambresmobreduite,capacitenbhebergements,capacitenbpersonnes,capacitesurface,services,languesparleesaccueil,ouverturealannee,ouverturegranule,resadirecte,resaenligneouinon,resaenligne,resaagence,tarifs,modepaiement,localisation,departement
Chalet meublé 1,Meublés,Chalet,0,0,0,0,72700.0,SPAY,0.0,72344,47.9235,0.15047,0,06 20 27 52 41,0,0,0.0,0,0,0,0,0,0,0,0,non,0,0,0,0,0,0,0,1.0,0.0,1.0,4.0,0,0,0,0,0,0,0,0,0.0,0,0,"47.9235,0.15047",Sarthe
Gîte du Chêne,Meublés,Appartement,0,0,0,0,72140.0,SAINT-REMY-DE-SILLE,0.0,72315,48.18635,-0.09261,0,06 81 11 17 10,0,0,0.0,0,0,0,0,0,0,0,0,non,0,0,Jardin indépendant;Plain Pied,0,0,0,Non classé,1.0,0.0,1.0,4.0,70,0,Français,0,0,Nathalie||06 81 11 17 10||nathalietessier@orange.fr,0,0,0.0,0,0,"48.18635,-0.09261",Sarthe
Gîte de La Janais - Hortensias,Meublés,Maison,0,0,0,0,44540.0,LE PIN,0.0,44124,47.58981,-1.15486,0,07 83 63 55 78,0,0,0.0,https://www.giteslajanais.fr/nos-gites/,0,0,0,0,0,0,0,non,0,Parc/jardin,Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés,"Equipement bébé,Micro ondes,Lave vaisselle",0,0,0,1.0,0.0,1.0,6.0,0,"Fourniture de draps (gratuit),Location de linge,Option nettoyage",0,0,0,0,oui,||https://www.giteslajanais.fr/nos-gites/||||||,0.0,"Week-end (meublé)||||||Par nuit,Mid-week (meublés)||||||Par nuit,Semaine (meublé)||||||Par nuit, les tarifs varient en fonction de la période de location.",0,"47.58981,-1.15486",Loire-Atlantique
Gîte Le Jardin des Aulnes,Meublés,0,0,0,0,0,72320.0,VALENNES,0.0,72366,47.99377,0.81684,0,06 30 55 45 44,0,0,0.0,0,0,0,0,0,0,0,0,non,0,0,0,0,0,0,0,2.0,0.0,1.0,6.0,0,0,0,0,0,Raphaëlle Yon-Araud||06 30 55 45 44||,0,0,0.0,0,0,"47.99377,0.81684",Sarthe
GITE LA FORGE,Meublés,Maison,0,0,0,0,53420.0,CHAILLAND,0.0,53048,48.22655,-0.87506,0,0631967527,0,0,0.0,0,0,0,0,0,0,0,0,non,0,0,Jardin indépendant,"Cheminée,Micro ondes,Lave vaisselle",0,0,Non classé,2.0,0.0,1.0,6.0,0,Option nettoyage,Français,oui,0,drouet||06 31 96 75 27||ldrouet72@hotmail.fr,0,0,0.0,0,Chèques bancaires et postaux;Espèces,"48.22655,-0.87506",Mayenne
Gîte de La Janais - Coquelicots,Meublés,Maison,0,0,0,0,44540.0,LE PIN,0.0,44124,47.58981,-1.15486,0,07 83 63 55 78,0,0,0.0,https://www.giteslajanais.fr/nos-gites/,0,0,0,0,0,0,0,non,0,Parc/jardin,Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés,"Equipement bébé,Micro ondes,Lave vaisselle",0,0,0,2.0,0.0,1.0,6.0,0,"Fourniture de draps (gratuit),Location de linge,Option nettoyage",0,0,0,0,oui,||https://www.giteslajanais.fr/nos-gites/||||||,0.0,"Week-end (meublé)||||||Tarif par nuit (à partir de 2 nuits),Mid-week (meublés)||||||Tarif par nuit (à partir de 2 nuits),Semaine (meublé)||||||Tarif par nuit (à partir de 7 nuits), les tarifs varient en fonction de la période de location.",0,"47.58981,-1.15486",Loire-Atlantique
LA CABANE SECRÈTE,Hébergement insolite,0,0,0,0,0,53500.0,MONTENAY,0.0,53155,48.32269,-0.88207,0,0,02 43 67 09 07,0,0.0,https://www.gites-de-france-mayenne.com/fr/location/locations-gites-montenay-yourte-jusqu-a-4-personnes-h53g023637,0,0,0,0,non,0,0,non,0,WiFi,0,0,Gîtes de France,0,0,1.0,0.0,1.0,2.0,12,"Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)",Anglais;Espagnol;Français,0,0,0,oui,Gîtes de France||https://www.gites-de-france-mayenne.com/fr/location/locations-gites-montenay-yourte-jusqu-a-4-personnes-h53g023637||||02 43 67 09 07||,0.0,Nuitée (meublé)||||||hors services et frais supplémentaires,Cartes bancaires;Chèques Vacances;Chèques Vacances Connect;Virement,"48.32269,-0.88207",Mayenne
Gite La Villa Ventura,Meublés,"Appartement,Maison",0,0,0,0,49350.0,GENNES-VAL-DE-LOIRE,0.0,49261,47.342475,-0.319308,0,0,06 89 90 05 00,0,0.0,https://lavillaventura.fr/,0,"||https://www.facebook.com/La-Villa-Ventura-100706488943295/,||https://www.instagram.com/la_villa_ventura/",0,0,non,0,0,non,0,"Local Vélo,Parc/jardin,Piscine,Piscine couverte",Local vélo;Parking;Toilettes séparées,"Micro ondes,Lave vaisselle",0,0,4 étoiles,4.0,0.0,1.0,7.0,140,"Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)",Anglais;Espagnol;Français,oui,01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,0,0,0,0.0,0,Virement,"47.342475,-0.319308",Maine-et-Loire
Chambres d'hôtes dans un écrin de verdure,Chambres d'hôtes,Maison,0,0,0,16 Lieu-dit Montlambert,49440.0,ANGRIE,0.0,49008,47.558063,-0.983471,0,06 84 48 15 65,0,0,0.0,0,https://www.youtube.com/shorts/GFKsU-tOVFk,"Facebook||https://www.facebook.com/chambresangrie,Instagram||http://www.instagram/chambreangrie","piscine<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>",0,non,0,0,non,0,"Parc/jardin,Piscine,WiFi",Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées,0,0,0,0,2.0,0.0,1.0,4.0,20,"Fourniture de draps (gratuit),Fourniture de linge (gratuit)",Français,non,"01/04/2024||31/10/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/04/2025||31/10/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","Mme CARON Christelle||06 84 48 15 65||christellecaron4950@orange.fr,||06 84 48 15 65||christellecaron4950@orange.fr,||06 84 48 15 65||christellecaron4950@orange.fr",0,0,0.0,"1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||95,00||95,00||,Taxe de séjour / nuit / pers||0,50||0,50||Taxe de séjour appliquée toute l'année",Chèques bancaires et postaux;Espèces;Virement,"47.558063,-0.983471",Maine-et-Loire
Chambres d'hôtes et Spa la Forcerie,Chambres d'hôtes,Maison,0,0,0,"7 Lieu dit Le Bourgneuf, Châtelais",49520.0,SEGRÉ-EN-ANJOU BLEU,0.0,49331,47.7748983,-0.8962754,0,0,02 41 26 26 46,0,0.0,http://www.laforcerie.com/,https://www.youtube.com/watch?v=gHmvR2osO5g&t=1s,"Facebook||https://www.facebook.com/pages/La-Forcerie-De-Chatelais/164112987055124,Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g1800624-d5562776-Reviews-La_Forcerie_de_Chatelais-Chatelais_Segre_en_Anjou_Bleu_Maine_et_Loire_Pays_de_la_Loir.html",0,0,non,0,0,non,0,"Espace bien-être,Local Vélo,Parc/jardin,WiFi",Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées,"Micro ondes,Lave vaisselle",Fleurs de Soleil,0,0,4.0,1.0,1.0,9.0,190,"Fourniture de draps (gratuit),Fourniture de linge (gratuit),Tables d'hôtes",Anglais;Français,oui,"01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",Cécile LAFORCE||02 41 26 26 46||laforceriedechatelais@orange.fr,oui,e-Resa||https://www.laforcerie.com/||||||,0.0,"1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||95,00||150,00||150€ avec petit-déjeuner et spa,1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||85,00||120,00||120€ avec petit-déjeuner et spa,Table d'hôtes||22,00||22,00||Assiette gourmande,Taxe de séjour / nuit / pers||0,50||0,50||Taxe de séjour appliquée du 1er janvier au 31 décembre",Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement,"47.7748983,-0.8962754",Maine-et-Loire
