nomoffre;type;typehabitation;adresse1;adresse1suite;adresse2;adresse3;codepostal;commune;cedex;codeinseecommune;latitude;longitude;acces;commmob;commtel;commfax;commmail;commweb;videosurl;plateformeurl;spvideosembed;tripadwidget;animauxacceptes;animauxinfo;labeltourismehandicap;spaccessibilite;spaccueilveloitineraire;equipements;confortimmobilier;confortmobilier;labels;labelsclassement;categorie;capacitenbchambres;capacitenbchambresmobreduite;capacitenbhebergements;capacitenbpersonnes;capacitesurface;services;languesparleesaccueil;ouverturealannee;ouverturegranule;resadirecte;resaenligneouinon;resaenligne;resaagence;tarifs;modepaiement;localisation;departement
Chalet meublé 1;Meublés;Chalet;;;;;72700;SPAY;;72344;47.9235;0.15047;;06 20 27 52 41;;;;;;;;;;;;non;;;;;;;;1;;1;4;;;;;;;;;;;;47.9235,0.15047;Sarthe
Gîte du Chêne;Meublés;Appartement;;;;;72140;SAINT-REMY-DE-SILLE;;72315;48.18635;-0.09261;;06 81 11 17 10;;;;;;;;;;;;non;;;"Jardin indépendant;Plain Pied";;;;Non classé;1;;1;4;70;;Français;;;Nathalie||06 81 11 17 10||nathalietessier@orange.fr;;;;;;48.18635,-0.09261;Sarthe
Gîte de La Janais - Hortensias;Meublés;Maison;;;;;44540;LE PIN;;44124;47.58981;-1.15486;;07 83 63 55 78;;;;https://www.giteslajanais.fr/nos-gites/;;;;;;;;non;;Parc/jardin;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés";Equipement bébé,Micro ondes,Lave vaisselle;;;;1;;1;6;;Fourniture de draps (gratuit),Location de linge,Option nettoyage;;;;;oui;||https://www.giteslajanais.fr/nos-gites/||||||;;Week-end (meublé)||||||Par nuit,Mid-week (meublés)||||||Par nuit,Semaine (meublé)||||||Par nuit, les tarifs varient en fonction de la période de location.;;47.58981,-1.15486;Loire-Atlantique
Gîte Le Jardin des Aulnes;Meublés;;;;;;72320;VALENNES;;72366;47.99377;0.81684;;06 30 55 45 44;;;;;;;;;;;;non;;;;;;;;2;;1;6;;;;;;Raphaëlle Yon-Araud||06 30 55 45 44||;;;;;;47.99377,0.81684;Sarthe
GITE LA FORGE;Meublés;Maison;;;;;53420;CHAILLAND;;53048;48.22655;-0.87506;;0631967527;;;;;;;;;;;;non;;;Jardin indépendant;Cheminée,Micro ondes,Lave vaisselle;;;Non classé;2;;1;6;;Option nettoyage;Français;oui;;drouet||06 31 96 75 27||ldrouet72@hotmail.fr;;;;;"Chèques bancaires et postaux;Espèces";48.22655,-0.87506;Mayenne
Gîte de La Janais - Coquelicots;Meublés;Maison;;;;;44540;LE PIN;;44124;47.58981;-1.15486;;07 83 63 55 78;;;;https://www.giteslajanais.fr/nos-gites/;;;;;;;;non;;Parc/jardin;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés";Equipement bébé,Micro ondes,Lave vaisselle;;;;2;0;1;6;;Fourniture de draps (gratuit),Location de linge,Option nettoyage;;;;;oui;||https://www.giteslajanais.fr/nos-gites/||||||;;Week-end (meublé)||||||Tarif par nuit (à partir de 2 nuits),Mid-week (meublés)||||||Tarif par nuit (à partir de 2 nuits),Semaine (meublé)||||||Tarif par nuit (à partir de 7 nuits), les tarifs varient en fonction de la période de location.;;47.58981,-1.15486;Loire-Atlantique
LA CABANE SECRÈTE;Hébergement insolite;;;;;;53500;MONTENAY;;53155;48.32269;-0.88207;;;02 43 67 09 07;;;https://www.gites-de-france-mayenne.com/fr/location/locations-gites-montenay-yourte-jusqu-a-4-personnes-h53g023637;;;;;non;;;non;;WiFi;;;Gîtes de France;;;1;;1;2;12;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);"Anglais;Espagnol;Français";;;;oui;Gîtes de France||https://www.gites-de-france-mayenne.com/fr/location/locations-gites-montenay-yourte-jusqu-a-4-personnes-h53g023637||||02 43 67 09 07||;;Nuitée (meublé)||||||hors services et frais supplémentaires;"Cartes bancaires;Chèques Vacances;Chèques Vacances Connect;Virement";48.32269,-0.88207;Mayenne
Gite La Villa Ventura;Meublés;Appartement,Maison;;;;;49350;GENNES-VAL-DE-LOIRE;;49261;47.342475;-0.319308;;;06 89 90 05 00;;;https://lavillaventura.fr/;;||https://www.facebook.com/La-Villa-Ventura-100706488943295/,||https://www.instagram.com/la_villa_ventura/;;;non;;;non;;Local Vélo,Parc/jardin,Piscine,Piscine couverte;"Local vélo;Parking;Toilettes séparées";Micro ondes,Lave vaisselle;;;4 étoiles;4;;1;7;140;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);"Anglais;Espagnol;Français";oui;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Virement;47.342475,-0.319308;Maine-et-Loire
Chambres d'hôtes dans un écrin de verdure;Chambres d'hôtes;Maison;;;;16 Lieu-dit Montlambert;49440;ANGRIE;;49008;47.558063;-0.983471;;06 84 48 15 65;;;;;https://www.youtube.com/shorts/GFKsU-tOVFk;Facebook||https://www.facebook.com/chambresangrie,Instagram||http://www.instagram/chambreangrie;"piscine<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;non;;;non;;Parc/jardin,Piscine,WiFi;"Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";;;;;2;0;1;4;20;Fourniture de draps (gratuit),Fourniture de linge (gratuit);Français;non;01/04/2024||31/10/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/04/2025||31/10/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mme CARON Christelle||06 84 48 15 65||christellecaron4950@orange.fr,||06 84 48 15 65||christellecaron4950@orange.fr,||06 84 48 15 65||christellecaron4950@orange.fr;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||95,00||95,00||,Taxe de séjour / nuit / pers||0,50||0,50||Taxe de séjour appliquée toute l'année;"Chèques bancaires et postaux;Espèces;Virement";47.558063,-0.983471;Maine-et-Loire
Chambres d'hôtes et Spa la Forcerie;Chambres d'hôtes;Maison;;;;7 Lieu dit Le Bourgneuf, Châtelais;49520;SEGRÉ-EN-ANJOU BLEU;;49331;47.7748983;-0.8962754;;;02 41 26 26 46;;;http://www.laforcerie.com/;https://www.youtube.com/watch?v=gHmvR2osO5g&t=1s;Facebook||https://www.facebook.com/pages/La-Forcerie-De-Chatelais/164112987055124,Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g1800624-d5562776-Reviews-La_Forcerie_de_Chatelais-Chatelais_Segre_en_Anjou_Bleu_Maine_et_Loire_Pays_de_la_Loir.html;;;non;;;non;;Espace bien-être,Local Vélo,Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";Micro ondes,Lave vaisselle;Fleurs de Soleil;;;4;1;1;9;190;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Tables d'hôtes;"Anglais;Français";oui;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Cécile LAFORCE||02 41 26 26 46||laforceriedechatelais@orange.fr;oui;e-Resa||https://www.laforcerie.com/||||||;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||95,00||150,00||150€ avec petit-déjeuner et spa,1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||85,00||120,00||120€ avec petit-déjeuner et spa,Table d'hôtes||22,00||22,00||Assiette gourmande,Taxe de séjour / nuit / pers||0,50||0,50||Taxe de séjour appliquée du 1er janvier au 31 décembre;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.7748983,-0.8962754;Maine-et-Loire
Gite - Maison avec jardin à Chacé;Meublés;Maison;;;;Chacé;49400;BELLEVIGNE-LES-CHATEAUX;;49060;47.215674;-0.077697;;;06 71 46 20 13;;;;;;;;oui;;;;;;Parking;Lave linge;;;Non classé;3;;;6;100;Fourniture de linge (gratuit);Français;;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.215674,-0.077697;Maine-et-Loire
Gîte les Buis de Chantepie;Meublés;Maison;;;;Epineux-le-Seguin;53340;VAL-DU-MAINE;;53017;47.94213;-0.36154;;;;;;;;;;;non;;;non;;Parc/jardin,Piscine,Plan d'eau,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Plain Pied;Sanitaires privés;Terrasse / Balcon;Toilettes séparées";Cheminée,Equipement bébé,Lave linge;;;;2;;1;4;75;Fourniture de draps (gratuit),Location de linge,Option nettoyage;;;;;;;;;;47.94213,-0.36154;Mayenne
Gîte de l'Eglorière;Meublés;;;;;L'Eglorière;53400;LIVRE-LA-TOUCHE;;53135;47.9128111;-0.9676379;;06 88 31 58 94;;;;http://www.anjou-gite.com/;;;;;;;;non;;Piscine couverte;Jardin indépendant;;;;Non classé;;;;;;;;;;;;;;Semaine (meublé)||500,00||800,00||;;47.9128111,-0.9676379;Mayenne
Chambres d'hôtes The Secret Garden;Chambres d'hôtes;Maison;;;;L'Huilerie;72150;COURDEMANCHE;;72103;47.7933359;0.547606;;;02 43 46 28 05;;;http://thesecretgarden-france.com;;Tripadvisor||http://www.tripadvisor.com/Hotel_Review-g1932280-d4453678-Reviews-The_Secret_Garden-Courdemanche_Sarthe_Pays_de_la_Loire.html;;http://www.tripadvisor.com/Hotel_Review-g1932280-d4453678-Reviews-The_Secret_Garden-Courdemanche_Sarthe_Pays_de_la_Loire.html;;On request;;non;;WiFi;"Jardin indépendant;Parking;Sanitaires privés;Terrasse / Balcon";Equipement bébé,Micro ondes,Lave vaisselle;B&B,Welcome;;;4;2;1;9;;;"Anglais;Français;Néerlandais";oui;;Lesley Woermeijer||02 43 46 28 05||;;;;;Chèques bancaires et postaux;47.7933359,0.547606;Sarthe
GÎTE DE LA BARONNERIE;Meublés;Appartement;;;;La Baronnerie;49290;CHALONNES-SUR-LOIRE;;49063;47.3576969;-0.7437109;;06 33 36 40 73;;;;;;;;;non;;;non;;WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrasse / Balcon";;;;Non classé;1;;;4;20;Location de draps,Location de linge,Option nettoyage;Anglais;oui;;||06 33 36 40 73||julien.defois@hotmail.fr,||06 89 50 97 69||clairechateigner@gmail.com;;;;;"Chèques bancaires et postaux;Espèces";47.3576969,-0.7437109;Maine-et-Loire
Chez Isa;Meublés;Roulotte;;;;La Bellonnière (Bazouges-sur-le-Loir);72200;BAZOUGES CRÉ SUR LOIR;;72025;47.7118579;-0.173889;;06 79 50 23 33;;;;;;;;;non;;;non;;Parc/jardin,Piscine;"Entrée indépendante;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";Micro ondes;;;Non classé;1;;1;4;;;Français;oui;;;;;;Nuitée (meublé)||||||+15€ par personne supplémentaire (maximum 2 personnes),Week-end (meublé)||||||+15€ par personne supplémentaire (maximum 2 personnes),Semaine (meublé)||||||De 2 à 4 personnes;"Chèques bancaires et postaux;Espèces";47.7118579,-0.173889;Sarthe
CHAMBRES D'HÔTE - P'TIT LOFT À LA FERME;Chambres d'hôtes;Maison;;;;La Ferrocherie;72380;SAINT-JEAN-D'ASSE;;72290;48.1672566;0.07817285;;;06 85 97 42 77;;;;;;;;non;;;non;;Climatisation,Parc/jardin,WiFi;"Entrée indépendante;Parking;Sanitaires privés;Terrasse / Balcon";Equipement bébé,Micro ondes,Sèche linge;;;;1;;1;4;;Fourniture de draps (gratuit),Fourniture de linge (gratuit);"Anglais;Français";oui;;Tricot Françoise ||06 85 97 42 77||;oui;Airbnb||https://www.airbnb.fr/rooms/12851076?source_impression_id=p3_1614957605_5uh2aOgJ0oFy09os||||||;;1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||||||13€ / personne supplémentaire,1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||||||13€ / personne supplémentaire;"Chèques bancaires et postaux;Espèces";48.1672566,0.07817285;Sarthe
Chambres d'hôtes - La Grange de Beauvais;Chambres d'hôtes;;;;;La Grange de Beauvais;72440;VOLNAY;;72382;47.944722;0.453438;;06.82.22.23.85;;;;;;;;;oui;;;non;;Parc/jardin;;;;;;3;;;;;;Français;oui;;||06 82 22 23 85||jacques.chauviere@laposte.net;;;;;Chèques bancaires et postaux;47.944722,0.453438;Sarthe
La Closerie de la Hérissière - Chambres d'hôtes l'Ecurie;Chambres d'hôtes;Maison;;;;La Hérissière;49220;LA JAILLE-YVON;;49161;47.716693;-0.673638;;;09 61 46 90 91;;;http://www.laherissiere.fr/;;Facebook||https://www.facebook.com/pages/La-Closerie-de-la-Herissiere/305980876125751?ref=hl,Tripadvisor||http://www.tripadvisor.fr/Hotel_Review-g425085-d2485304-Reviews-La_Closerie_de_la_Herissiere-La_Jaille_Yvon_Maine_et_Loire_Anjou_Loire_Valley_Pays_de_.html,Google+||https://www.google.com/settings/account?tab=4;;;non;;;non;;Parc/jardin,WiFi;"Jardin indépendant;Parking;Plain Pied;Terrasse / Balcon";Equipement bébé;;;;3;0;1;6;;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);"Allemand;Anglais;Espagnol;Français";oui;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mme Monday Evelyn||06 85 81 58 07||lacloserie.herissiere@gmail.com;;;;"1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||86,00||105,00||86€ = chambre de l'Oncle Alfred;100€ = verger d'Hélène;105€ = chambre de l'écuyère;,Taxe de séjour / nuit / pers||0,50||0,50||Taxe de séjour appliquée du 1er avril au 31 octobre";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.716693,-0.673638;Maine-et-Loire
